date_time,West,tempF,windspeedMiles,precipMM,humidity,visibilityMiles,pressureInches,cloudcover,HeatIndexF,DewPointF,WindChillF,WindGustMiles,FeelsLikeF,uvIndex
6/12/21 23:00,10000,77,8,0,55,6,30,11,79,60,77,17,79,1
6/13/21 0:00,10000,77,8,0,55,6,30,11,79,60,77,17,79,1
6/13/21 1:00,10000,77,8,0,55,6,30,11,79,60,77,17,79,1
6/13/21 2:00,10000,84,8,0.1,50,6,30,57,86,63,84,11,86,7
6/13/21 3:00,10000,84,8,0.1,50,6,30,57,86,63,84,11,86,7
6/13/21 4:00,10000,84,8,0.1,50,6,30,57,86,63,84,11,86,7
6/13/21 5:00,10000,92,6,0.1,43,6,30,87,97,66,92,7,97,7
6/13/21 6:00,10000,92,6,0.1,43,6,30,87,97,66,92,7,97,7
6/13/21 7:00,10000,92,6,0.1,43,6,30,87,97,66,92,7,97,7
6/13/21 8:00,10000,97,6,0,37,6,30,41,103,66,97,6,103,8
6/13/21 9:00,10000,97,6,0,37,6,30,41,103,66,97,6,103,8
6/13/21 10:00,10000,97,6,0,37,6,30,41,103,66,97,6,103,8
6/13/21 11:00,10000,98,9,0,34,6,30,10,102,65,98,12,102,9
6/13/21 12:00,10000,98,9,0,34,6,30,10,102,65,98,12,102,9
6/13/21 13:00,10000,98,9,0,34,6,30,10,102,65,98,12,102,9
6/13/21 14:00,10000,94,8,0.9,55,6,30,51,100,65,94,14,100,1
6/13/21 15:00,10000,94,8,0.9,55,6,30,51,100,65,94,14,100,1
6/13/21 16:00,10000,94,8,0.9,55,6,30,51,100,65,94,14,100,1
6/13/21 17:00,10000,82,5,1.7,66,5,30,72,87,65,82,10,87,1
6/13/21 18:00,10000,82,5,1.7,66,5,30,72,87,65,82,10,87,1
6/13/21 19:00,10000,82,5,1.7,66,5,30,72,87,65,82,10,87,1
6/13/21 20:00,10000,75,3,1.1,74,6,30,81,78,66,75,6,78,1
6/13/21 21:00,10000,75,3,1.1,74,6,30,81,78,66,75,6,78,1
6/13/21 22:00,10000,75,3,1.1,74,6,30,81,78,66,75,6,78,1
6/13/21 23:00,10000,74,4,0.8,78,6,30,77,78,67,74,9,78,1
6/14/21 0:00,10000,74,4,0.8,78,6,30,77,78,67,74,9,78,1
6/14/21 1:00,10000,74,4,0.8,78,6,30,77,78,67,74,9,78,1
6/14/21 2:00,10000,81,6,0.4,61,6,30,83,83,65,81,9,83,6
