date_time,South,tempF,windspeedMiles,precipMM,humidity,visibilityMiles,pressureInches,cloudcover,HeatIndexF,DewPointF,WindChillF,WindGustMiles,FeelsLikeF,uvIndex
,,88,18,0,38,6,30,0,91,57,88,28,91,1
,,88,18,0,38,6,30,0,91,57,88,28,91,1
,,88,18,0,38,6,30,0,91,57,88,28,91,1
,,80,9,0,45,6,30,8,81,57,80,15,81,1
,,80,9,0,45,6,30,8,81,57,80,15,81,1
,,80,9,0,45,6,30,8,81,57,80,15,81,1
,,77,6,0,52,6,30,4,78,57,77,10,78,1
,,77,6,0,52,6,30,4,78,57,77,10,78,1
,,77,6,0,52,6,30,4,78,57,77,10,78,1
,,81,7,0,44,6,30,0,82,57,81,10,82,7
,,81,7,0,44,6,30,0,82,57,81,10,82,7
,,81,7,0,44,6,30,0,82,57,81,10,82,7
,,91,9,0,29,6,30,0,90,54,91,10,90,8
,,91,9,0,29,6,30,0,90,54,91,10,90,8
,,91,9,0,29,6,30,0,90,54,91,10,90,8
,,98,11,0,19,6,30,2,97,49,98,12,97,9
,,98,11,0,19,6,30,2,97,49,98,12,97,9
,,98,11,0,19,6,30,2,97,49,98,12,97,9
,,99,13,0,18,6,30,3,97,48,99,16,97,9
,,99,13,0,18,6,30,3,97,48,99,16,97,9
,,99,13,0,18,6,30,3,97,48,99,16,97,9
,,96,13,0,24,6,30,3,99,49,96,22,99,1
,,96,13,0,24,6,30,3,99,49,96,22,99,1
,,96,13,0,24,6,30,3,99,49,96,22,99,1
6/12/21 23:00,,75,2,0,95,1,30,38,79,73,75,4,79,1
6/13/21 0:00,,75,2,0,95,1,30,38,79,73,75,4,79,1
6/13/21 1:00,,75,2,0,95,1,30,38,79,73,75,4,79,1
6/13/21 2:00,,81,2,0,78,4,30,42,87,73,81,3,87,6
6/13/21 3:00,,81,2,0,78,4,30,42,87,73,81,3,87,6
6/13/21 4:00,,81,2,0,78,4,30,42,87,73,81,3,87,6
6/13/21 5:00,,89,5,0,57,6,30,14,96,71,89,5,96,8
6/13/21 6:00,,89,5,0,57,6,30,14,96,71,89,5,96,8
6/13/21 7:00,,89,5,0,57,6,30,14,96,71,89,5,96,8
6/13/21 8:00,,91,9,0,53,6,30,1,99,71,91,11,99,8
6/13/21 9:00,,91,9,0,53,6,30,1,99,71,91,11,99,8
6/13/21 10:00,,91,9,0,53,6,30,1,99,71,91,11,99,8
6/13/21 11:00,,88,11,0,58,6,30,2,94,71,88,14,94,8
