date_time,North Central,tempF,windspeedMiles,precipMM,humidity,visibilityMiles,pressureInches,cloudcover,HeatIndexF,DewPointF,WindChillF,WindGustMiles,FeelsLikeF,uvIndex
,,80,10,0,79,6,30,17,85,73,80,15,85,1
,,80,10,0,79,6,30,17,85,73,80,15,85,1
,,80,10,0,79,6,30,17,85,73,80,15,85,1
,,77,9,0,84,6,30,12,82,72,77,14,82,1
,,77,9,0,84,6,30,12,82,72,77,14,82,1
,,77,9,0,84,6,30,12,82,72,77,14,82,1
,,76,7,0,87,6,30,16,80,72,76,11,80,1
,,76,7,0,87,6,30,16,80,72,76,11,80,1
,,76,7,0,87,6,30,16,80,72,76,11,80,1
,,81,7,0,75,6,30,10,86,72,81,9,86,7
,,81,7,0,75,6,30,10,86,72,81,9,86,7
,,81,7,0,75,6,30,10,86,72,81,9,86,7
,,89,8,0,58,6,30,4,98,72,89,9,98,8
,,89,8,0,58,6,30,4,98,72,89,9,98,8
,,89,8,0,58,6,30,4,98,72,89,9,98,8
,,95,8,0,47,6,30,3,104,72,95,9,104,8
,,95,8,0,47,6,30,3,104,72,95,9,104,8
,,95,8,0,47,6,30,3,104,72,95,9,104,8
,,95,7,0,49,6,30,4,106,73,95,8,106,9
,,95,7,0,49,6,30,4,106,73,95,8,106,9
,,95,7,0,49,6,30,4,106,73,95,8,106,9
,,92,7,0,64,6,30,4,99,74,92,10,99,1
,,92,7,0,64,6,30,4,99,74,92,10,99,1
,,92,7,0,64,6,30,4,99,74,92,10,99,1
6/12/21 23:00,,80,4,0,78,6,30,9,86,73,80,6,86,1
6/13/21 0:00,,80,4,0,78,6,30,9,86,73,80,6,86,1
6/13/21 1:00,,80,4,0,78,6,30,9,86,73,80,6,86,1
6/13/21 2:00,,86,2,0,67,6,30,8,93,73,86,3,93,7
6/13/21 3:00,,86,2,0,67,6,30,8,93,73,86,3,93,7
6/13/21 4:00,,86,2,0,67,6,30,8,93,73,86,3,93,7
6/13/21 5:00,,93,3,0,52,6,30,8,103,73,93,4,103,8
6/13/21 6:00,,93,3,0,52,6,30,8,103,73,93,4,103,8
6/13/21 7:00,,93,3,0,52,6,30,8,103,73,93,4,103,8
6/13/21 8:00,,97,4,0,45,5,30,22,108,72,97,4,108,9
6/13/21 9:00,,97,4,0,45,5,30,22,108,72,97,4,108,9
6/13/21 10:00,,97,4,0,45,5,30,22,108,72,97,4,108,9
6/13/21 11:00,,96,5,0,48,5,30,42,107,73,96,6,107,8
6/13/21 12:00,,96,5,0,48,5,30,42,107,73,96,6,107,8
6/13/21 13:00,,96,5,0,48,5,30,42,107,73,96,6,107,8
6/13/21 14:00,,91,5,0.1,60,5,30,74,101,75,91,6,101,1
6/13/21 15:00,,91,5,0.1,60,5,30,74,101,75,91,6,101,1
6/13/21 16:00,,91,5,0.1,60,5,30,74,101,75,91,6,101,1
6/13/21 17:00,,85,5,0.2,70,6,30,76,94,75,85,8,94,1
6/13/21 18:00,,85,5,0.2,70,6,30,76,94,75,85,8,94,1
6/13/21 19:00,,85,5,0.2,70,6,30,76,94,75,85,8,94,1
6/13/21 20:00,,82,5,0.1,71,5,30,43,87,72,82,8,87,1
6/13/21 21:00,,82,5,0.1,71,5,30,43,87,72,82,8,87,1
6/13/21 22:00,,82,5,0.1,71,5,30,43,87,72,82,8,87,1
6/13/21 23:00,,81,3,0.1,74,6,30,64,85,71,81,5,85,1
6/14/21 0:00,,81,3,0.1,74,6,30,64,85,71,81,5,85,1
6/14/21 1:00,,81,3,0.1,74,6,30,64,85,71,81,5,85,1
6/14/21 2:00,,85,4,0,66,6,30,31,92,73,85,5,92,6
6/14/21 3:00,,85,4,0,66,6,30,31,92,73,85,5,92,6
6/14/21 4:00,,85,4,0,66,6,30,31,92,73,85,5,92,6
6/14/21 5:00,,92,5,0,52,6,30,14,101,72,92,6,101,8
6/14/21 6:00,,92,5,0,52,6,30,14,101,72,92,6,101,8
6/14/21 7:00,,92,5,0,52,6,30,14,101,72,92,6,101,8
6/14/21 8:00,,97,6,0,41,6,30,21,104,69,97,7,104,9
6/14/21 9:00,,97,6,0,41,6,30,21,104,69,97,7,104,9
6/14/21 10:00,,97,6,0,41,6,30,21,104,69,97,7,104,9
6/14/21 11:00,,94,9,0,47,6,30,24,102,70,94,11,102,8
6/14/21 12:00,,94,9,0,47,6,30,24,102,70,94,11,102,8
6/14/21 13:00,,94,9,0,47,6,30,24,102,70,94,11,102,8
6/14/21 14:00,,90,6,0,59,6,30,13,98,73,90,8,98,1
